Plot_ID,Date,Lat,Lon,altitude
P30_7,23/6/2022 12:27:06,59.5184859513661,10.8912671020147,133.326
P31_1,20/7/2022 11:39:56,59.521789164019,10.8990374373854,140.919
P31_2,20/7/2022 11:41:02,59.521789164019,10.8990374373854,130.319
P31_3,20/7/2022 11:42:06,59.521789164019,10.8990374373854,123.919
P31_4,20/7/2022 11:43:09,59.521789164019,10.8990374373854,119.319
P31_5,20/7/2022 11:44:13,59.521789164019,10.8990374373854,115.719
P31_6,20/7/2022 11:45:16,59.521789164019,10.8990374373854,112.719
P31_7,20/7/2022 11:46:19,59.521789164019,10.8990374373854,109.819
P32_3,20/7/2022 12:00:02,59.5235795109763,10.9031533855549,113.115
P32_4,20/7/2022 12:01:06,59.5235795109763,10.9031533855549,108.515
P32_5,20/7/2022 12:02:09,59.5235795109763,10.9031533855549,104.915
P32_6,20/7/2022 12:03:13,59.5235795109763,10.9031533855549,101.915
P32_7,20/7/2022 12:04:16,59.5235795109763,10.9031533855549,99.015
P33_1,19/7/2022 12:33:55,59.5253252790641,10.9072274068228,106.711
P33_2,19/7/2022 12:35:01,59.5253252790641,10.9072274068228,96.111
P33_3,19/7/2022 12:36:05,59.5253252790641,10.9072274068228,89.711
P33_4,19/7/2022 12:37:08,59.5253252790641,10.9072274068228,85.111
P33_5,19/7/2022 12:38:12,59.5253252790641,10.9072274068228,81.511
P34_1,19/7/2022 12:25:03,59.5261357237306,10.9092239256897,98.009
P34_2,19/7/2022 12:26:09,59.5261357237306,10.9092239256897,87.409
P34_3,19/7/2022 12:27:13,59.5261357237306,10.9092239256897,81.009
P34_4,19/7/2022 12:28:17,59.5261357237306,10.9092239256897,76.409
P34_5,19/7/2022 12:29:20,59.5261357237306,10.9092239256897,72.809
P34_6,19/7/2022 12:30:23,59.5261357237306,10.9092239256897,69.809
P34_7,19/7/2022 12:31:26,59.5261357237306,10.9092239256897,66.909
P35_1,20/7/2022 11:20:55,59.5234093976638,10.906847538935,105.414
P35_2,20/7/2022 11:22:00,59.5234093976638,10.906847538935,94.814
P35_4,20/7/2022 11:24:08,59.5234093976638,10.906847538935,83.814
P35_5,20/7/2022 11:25:11,59.5234093976638,10.906847538935,80.214
P36_2,20/7/2022 11:13:17,59.5225599005784,10.9047898662039,102.316
P36_3,20/7/2022 11:14:21,59.5225599005784,10.9047898662039,95.916
